phase,sim_time,event_id,type,source,classification,reason,payload_summary
proposed,0,E108,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E109,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E110,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E111,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E112,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E113,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E114,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E115,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E116,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E117,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E118,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E119,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E120,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E121,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E122,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_SNACK_X;qty=1
proposed,0,E123,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E124,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E125,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E126,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E127,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E128,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_SNACK_X;qty=1
proposed,0,E129,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E130,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E131,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E132,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E133,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E134,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E135,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E136,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E137,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E138,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_SNACK_X;qty=1
proposed,0,E139,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E140,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E141,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E142,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E143,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E144,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E145,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E146,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_SNACK_X;qty=1
proposed,0,E147,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E148,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E149,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E150,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E151,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E152,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E153,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E154,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E155,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E156,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E157,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E158,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E159,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E160,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E161,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E162,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E163,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E164,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E165,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E166,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E167,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E168,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E169,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E170,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E171,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E172,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E173,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E174,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E175,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
proposed,0,E176,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_COLA_15;qty=1
proposed,0,E177,OutboundRequest,client_gen,,,client_id=C2;sku_id=S_PEPSI_05;qty=1
validated,0,E1,InboundArrivalActual,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;delivered_qty=94
validated,0,E2,InboundArrivalActual,client_gen,ok,,client_id=C1;sku_id=S_COLA_15;delivered_qty=83
validated,0,E3,InboundArrivalActual,client_gen,ok,,client_id=C1;sku_id=S_SNACK_X;delivered_qty=115
validated,0,E4,InboundArrivalActual,client_gen,ok,,client_id=C2;sku_id=S_PEPSI_05;delivered_qty=111
validated,0,E5,InboundArrivalActual,client_gen,ok,,client_id=C2;sku_id=S_COLA_15;delivered_qty=108
validated,0,E6,InboundArrivalActual,client_gen,ok,,client_id=C2;sku_id=S_SNACK_X;delivered_qty=97
validated,0,E7,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
validated,0,E8,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_COLA_15;qty=1
validated,0,E9,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_SNACK_X;qty=1
validated,0,E10,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
validated,0,E11,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
validated,0,E12,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_SNACK_X;qty=1
validated,0,E13,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_COLA_15;qty=1
validated,0,E14,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
validated,0,E15,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
validated,0,E16,OutboundRequest,client_gen,ok,,client_id=C1;sku_id=S_PEPSI_05;qty=1
